MLA,EWAQ_Capital,XX_MLA,01_CURR_ACC,EWAQ_GrossLoans,02_TIME_DEPOSIT,XX_TOTAL_LIQUID_ASSET,EWAQ_NPL,03_SAVINGS,XX_BAL_IN_OTHER_BANKS,EWAQ_NPLsNetOfProvisions,XX_BOT_BALANCE,LR,INF,10_FOREIGN_DEPOSITS_AND_BORROWINGS,EWAQ_NPLsNetOfProvisions2CoreCapital,F125_LIAB_TOTAL,F077_ASSETS_TOTAL,19_BANKS_ABROAD,DR
42.1147312,27439560568.0,37.98861134,10687677846.0,65350786956.0,51790202118.0,56096909051.0,26233307.11,12195826111.0,1251684166.0,10626815.6,11040031524.0,16.0864831,5.495919593,0.0,0.000406033,134000000000.0,164000000000.0,1230577586.0,9.580273423
37.14528493,15228979297.0,36.18391845,35757255876.0,99638971793.0,70288831807.0,74329187869.0,4608978135.0,9819378219.0,90640580.91,4084940033.0,23652537931.0,14.83045085,7.869020534,74647832350.0,0.268295012,211000000000.0,229000000000.0,90640580.91,5.889619207
26.78629441,12660914586.0,33.23494159,11465280833.0,87099395706.0,44832472777.0,40337426262.0,3519753342.0,4645238880.0,15872773913.0,1377287026.0,17501973367.0,14.74294,19.45756577,51011194570.0,0.108338067,113000000000.0,127000000000.0,7851099641.0,7.189037517
48.91,39950394233.0,48.90946186,78606733782.0,196000000000.0,96945299267.0,110000000000.0,37142054644.0,19027649179.0,4249986915.0,32625937899.0,17147574794.0,16.89333333,3.5,218870390.3,0.8167,260000000000.0,328000000000.0,4249986915.0,7.4
42.46176753,12204734116.0,42.60981515,2397442935.0,55599444594.0,49321235492.0,32423149992.0,3361996392.0,13873037712.0,872655392.2,1553520512.0,9423191468.0,14.39465026,4.603966558,267856393.4,0.127452208,76813791434.0,90696453548.0,78994260.76,5.672010287
55.78250426,9891975058.0,57.06033135,16686205011.0,46223412093.0,18055983637.0,62527982778.0,818719396.4,7408650952.0,26417586484.0,578938187.8,12481561063.0,14.48005476,19.41322753,54090246992.0,0.058181668,99856889670.0,112000000000.0,12939771227.0,6.662806019
35.37219607,38545575497.0,33.91448278,17899570404.0,115000000000.0,59605764950.0,65665355948.0,9633508038.0,1880394654.0,1040404209.0,6703274606.0,12776562906.0,16.51984388,6.009173406,38979515229.0,0.174100518,155000000000.0,196000000000.0,1037757375.0,8.75679961
21.30330435,15784462403.0,20.04282426,286035244.1,42332949247.0,19625963350.0,5478363273.0,588732288.6,6390711993.0,680435037.6,239028161.0,2354431364.0,16.73886766,3.784451329,30579383.0,0.015127708,37573556279.0,53642594132.0,0.0,8.381359235
46.43490073,11995096014.0,46.26862971,2751618813.0,52826750330.0,46325185542.0,33595812928.0,1865131609.0,12935440881.0,510015100.8,222767629.2,9673005730.0,14.51349043,6.462795134,307906318.3,0.018911399,73789491569.0,87250396106.0,54853120.96,5.82948731
43.42152926,176000000000.0,43.8430908,523000000000.0,877000000000.0,118000000000.0,705000000000.0,75691653613.0,357000000000.0,97847387186.0,67263652197.0,224000000000.0,16.15218321,6.37589146,301000000000.0,0.382610557,1440000000000.0,1700000000000.0,97847387186.0,9.154538661
29.95339121,13404484295.0,30.50375303,2617746548.0,66384347614.0,26951130765.0,27429253425.0,7823780147.0,1454477131.0,142569087.6,3773234347.0,8924359123.0,18.07765715,4.104277323,47516413734.0,0.27400642,91576787536.0,108000000000.0,71082061.84,9.723622867
23.4585341,14765916294.0,24.3356062,4664138210.0,45318987038.0,13258861677.0,10181631184.0,15972633081.0,5425415561.0,2423459858.0,13375942717.0,5218131382.0,16.50413723,3.107992155,16851474111.0,0.90639283,43592737158.0,66032523349.0,1022819858.0,6.449861182
32.77095185,203000000000.0,33.61940854,396000000000.0,759000000000.0,173000000000.0,698000000000.0,62808157969.0,37587027871.0,72630814559.0,35380371451.0,238000000000.0,18.0428076,4.51822846,691000000000.0,0.174677813,1480000000000.0,1730000000000.0,72630814559.0,9.859907815
48.35429806,46727394810.0,53.93366236,87234401661.0,257000000000.0,156000000000.0,163000000000.0,70026727850.0,21505266563.0,6396868193.0,57815441317.0,31432991483.0,17.98601356,3.954164599,977897196.4,1.272654795,349000000000.0,427000000000.0,6396868193.0,9.138061489
39.64568328,26939104922.0,37.52506003,58014277549.0,202000000000.0,76491973836.0,116000000000.0,6526708689.0,14856435884.0,2695976429.0,5065700090.0,31386202987.0,15.7879645,10.17099646,101000000000.0,0.187947699,329000000000.0,359000000000.0,2695976429.0,8.98611362
58.95831914,16577981844.0,58.45751661,6342644545.0,54456419078.0,16646021153.0,54747919970.0,7325257847.0,6281021125.0,10965909131.0,6144853906.0,9519628051.0,17.89572409,5.331310909,50472639656.0,0.370759804,88928046785.0,111000000000.0,3231066631.0,10.26231863
49.37236788,28731698542.0,53.62722495,28789365010.0,108000000000.0,21438937393.0,102000000000.0,160072493.5,7091605287.0,46008745858.0,-1943506507.0,18676424886.0,16.1183597,6.084527539,75764460526.0,-0.070970859,172000000000.0,205000000000.0,34074908709.0,9.059229989
51.19,350000000000.0,51.18739367,2220000000000.0,1430000000000.0,96569410247.0,1400000000000.0,42726127045.0,159000000000.0,22940655761.0,16199689288.0,549000000000.0,15.82,8.333333333,146000000000.0,0.0462,2750000000000.0,3170000000000.0,22720202763.0,8.94
